rashomon_n_iters,n_seeds,downstream_mean_reward_mean,downstream_mean_reward_std,downstream_mean_reward_median,downstream_mean_reward_min,downstream_mean_reward_max,downstream_failure_rate_mean,downstream_failure_rate_nonzero_count,source_mean_reward_mean,source_mean_reward_std,selected_certificate_mean,inverse_temperature_mean,rashomon_dataset_size_mean
10000,10,-173.5067393680643,68.56859242430613,-136.52031112655138,-309.37157750305187,-112.61987081597725,0.0,0,211.834182654923,7.400108826394713,1.0,94.5,30720.0
100000,10,-152.88250365129778,34.54414385679148,-141.33213845701187,-213.8224882238207,-111.63383948171526,0.0,0,211.834182654923,7.400108826394713,1.0,94.5,30720.0
200000,10,-141.59703111609136,37.75850524023419,-145.25237984777277,-203.22578709002102,-62.16368423560723,0.1,1,211.834182654923,7.400108826394713,1.0,94.5,30720.0
